大小不一,6
轻中度,6
左卵巢,6
超出,6
号,6
股骨,6
唇部,6
锥,6
角,6
卵泡,6
3im10,6
直肠子宫陷窝,6
稍后,6
联合,6
圆,6
纵隔,6
索状,6
考虑,6
原,6
点,6
管壁增,6
倾,6
仍,6
融合,6
阔,6
占位性,6
臀部,6
但,6
偏右,6
索,6
后侧,6
膨大,6
模糊不清,6
肛,7
弥散,7
之间,7
份,7
差,7
团块,7
宫腔积,7
韧带,7
不同,7
尿道,7
左后唇,7
可能,7
囊肿,7
压迫,7
突破,7
水样,7
提,7
隆,7
滑脱,7
瘢痕,7
全,7
外周,7
骶椎,7
突起,7
冠状,7
闭,7
皮下脂肪,7
特殊,7
团块影,7
宽,8
管壁,8
相应,8
阴道口,8
上下,8
分层,8
前部,8
质,8
绕,8
内侧,8
纳,8
大部分,8
水肿,8
右前方,8
尾骨,8
下达,8
环状,8
之外,8
其他,8
囊性灶,8
包,8
高低,8
团,8
间质,8
髋关节,8
外缘,8
延续,8
环绕,8
且,9
肠壁,9
截面积,9
尚存,9
切,9
一般,9
相连,9
相通,9
外阴部,9
残,9
前缘,9
周,9
皮下,9
黏膜,9
支,9
偏左,9
游离,9
以前,9
性病变,9
子宫峡部,9
交界处,9
S3,9
延伸,9
外侧,9
相近,9
片长,9
直肠系膜,9
余部,10
椎间盘,10
表面,10
发条,10
狭窄,10
左旁,10
粘膜层,10
线状,10
切除术,10
中等,10
孔,10
峡,10
外层,10
筋膜,10
层呈,10
像,10
升高,10
成分,11
更,11
周边,11
变小,11
显著,11
左后方,11
横截面,11
超,11
突入宫腔,11
以后,11
平面,11
变窄,11
交界,11
亦,11
侧壁,11
组成,12
管见,12
L4,12
脂肪,12
团状,12
其中,12
和,12
扩散,12
右后方,12
弥漫性,12
界,12
壁上,13
下方,13
各,13
弥漫,13
突入,13
阴道内,13
发短,13
体,13
颈,13
腹壁,13
椎管,14
基本,14
静脉,14
相,14
面,14
突,14
同,14
膨,14
小囊,14
髋臼,14
子宫腔,14
弱,14
佳,14
分隔,15
略显,15
凹陷,15
中立,15
位置,15
粗,15
降低,15
中央,15
纤维,16
连续性,16
一小,16
界限,16
菲薄,16
索条影,17
放化疗,17
耻骨,17
子宫肌壁,17
上方,18
S1,18
后部,18
术后,18
端,18
动脉,18
点片状,18
直径,19
子宫直肠窝,19
骶骨,19
表现,19
实,19
体部,19
左右,19
S2,20
主要,20
上部,20
乙状结肠,20
斑,20
变形,20
失常,20
受限,21
L5,21
所,21
子,21
子宫直肠间隙,21
浆膜面,21
局限,21
至,22
中心,22
向前,22
薄,22
带,22
肌肉,23
盆底,23
分别,23
卵圆形,23
相对,23
凸,23
积液影,24
宫颈环周,24
前方,24
实质,24
受,25
肿物,25
扩大,25
宫旁脂肪,25
最,25
横,25
上下径,25
破坏,26
以,26
体积小,26
生长,26
线,27
股骨头,27
穹隆,27
萎缩,28
层面,28
为主,29
良好,29
显,29
受压,29
斑点状,29
可疑,29
条形,30
邻近,30
椎体,30
环,30
确切,30
多,30
略低于,30
诸,30
内部,31
水平,31
中,32
前后径,32
缘,33
子宫直肠陷窝,33
迂曲,33
关系密切,34
管,34
内外,34
脂,35
压,35
多发片状,35
后缘,35
矢,36
似,36
宫颈口,36
走,37
所示,37
叶状,38
值,38
液性信号影,38
著,38
团块状,39
区域,39
数量,39
骨盆,40
侵,41
行,41
类,41
轮廓,42
分,42
组织,42
偏,42
中度,43
数个,43
近,43
消失,43
结节样,45
旁及,45
直立位,47
下部,47
状,47
并,47
大致,48
